state,district,rural_urban,stunting_tier,stunting,wash_score,empowerment_score,healthcare_score,immunization_score,nutrition_deprivation,wealth_proxy,fertility_risk,ifa_100days,early_breastfeed,excl_breastfeed,vitamin_a,diarrhoea_prev,oop_delivery_cost,birth_registration,unmet_need_total,wash_score_sc,empowerment_score_sc,healthcare_score_sc,immunization_score_sc,nutrition_deprivation_sc,wealth_proxy_sc,fertility_risk_sc,ifa_100days_sc,early_breastfeed_sc,excl_breastfeed_sc,vitamin_a_sc,diarrhoea_prev_sc,oop_delivery_cost_sc,birth_registration_sc,unmet_need_total_sc,predicted_stunting_rf,predicted_stunting_ridge,residual_rf,cluster,risk_segment
AN,Nicobars,Rural,Low (<30%),20.3,75.3,66.56666666666666,68.60000000000001,53.24,22.675,60.675,12.166666666666666,19.0,34.9,58.35,71.6,5.1,1787.0,99.3,18.0,1.307819757178084,0.8391516164694273,0.6061537230709867,-1.8172239102838663,-0.8160250654572677,-0.0019639420773014,-1.2158994552129443,-0.6021715025477948,-0.6248523249824269,0.11530699645712,0.6641366131286354,-0.650545406285508,-0.4219825452971971,1.0863661750021802,0.6110053500664372,27.501938673037227,30.58037093391808,-7.201938673037226,0,Tier 1 — Low Risk (Developed)
AN,North  & Middle Andaman,Rural,Moderate (30–40%),32.5,58.53333333333333,66.96666666666667,81.86666666666666,92.88,28.1,57.65,18.33333333333333,45.5,43.9,58.35,59.8,4.9,1082.0,99.6,12.2,0.1260109395012742,0.8718530068038755,1.4051773210762797,1.2107334243728567,-0.1304401337251218,-0.2804304551110617,-0.3148810419784795,0.8159757997614423,-0.083067693141174,0.11530699645712,-0.0054029805538271,-0.6892118505073247,-0.6807317937880354,1.1044345734082062,-0.2855127108837576,32.98286841614266,33.358722943773905,-0.4828684161426579,0,Tier 1 — Low Risk (Developed)
AN,South Andaman,Both,Low (<30%),20.1,85.46666666666665,75.30000000000001,81.14999999999999,78.42,31.025,70.5,14.266666666666666,67.8,41.7,58.35,73.3,5.5,1279.0,97.0,16.5,2.024423513423465,1.5531319721048715,1.3620139860081542,0.1061859203583209,0.2392070414484317,0.902476881247226,-0.9090661577330996,2.0093601334028,-0.2155039364801467,0.11530699645712,0.760595707133736,-0.5732125178418745,-0.6084288122948508,0.947841787222648,0.37914723085518,28.69761492208054,30.138224661285783,-8.597614922080538,0,Tier 1 — Low Risk (Developed)
AP,Anantapur,Rural,High (40–50%),40.3,57.9,48.63333333333333,78.39999999999999,88.34,28.925,79.825,19.6,59.6,51.3,74.25,57.4,4.4,3509.0,89.4,5.2,0.0813700497679554,-0.6269607168583142,1.1963872351653484,0.8639391181331619,-0.0261806740607863,1.760890181756256,-0.1298069895303187,1.5705371945750366,0.3623996708171893,1.237426900572674,-0.1415805250316161,-0.7858779610618665,0.2100262573995739,0.4901090276033243,-1.367517267202958,35.54014453242406,30.97268451299348,4.759855467575939,0,Tier 1 — Low Risk (Developed)
AP,Chittoor,Rural,Moderate (30–40%),31.4,54.76666666666667,57.23333333333333,75.26666666666667,83.8,26.725,79.125,21.33333333333333,64.1,45.6,74.25,75.2,2.8,1686.0,86.4,4.2,-0.1394848783863584,0.0761191753323123,1.0076731190535455,0.5171448118934662,-0.3042058998323478,1.6964516498145592,0.1234522401355845,1.8113546610049065,0.0192694039843961,1.237426900572674,0.8684029298453194,-1.0952095148364005,-0.4590515865703526,0.3094250435430648,-1.5220893466771297,32.976846350206976,31.055607376265947,-1.5768463502069778,0,Tier 1 — Low Risk (Developed)
AP,East Godavari,Rural,Low (<30%),27.7,63.06666666666666,58.73333333333333,79.73333333333333,77.38,31.9,75.65,21.633333333333336,56.6,42.9,74.25,80.4,12.3,1843.0,84.3,3.4,0.4455457291713459,0.1987493890864915,1.276691114361861,0.0267440528496678,0.3497852562439392,1.3765603662468515,0.1672855683469915,1.409992216955123,-0.1432659855679799,1.237426900572674,1.1634542762138624,0.7414465856998942,-0.4014294135021801,0.1829462547008826,-1.6457470102564666,31.00218162817432,32.8087302689252,-3.302181628174313,0,Tier 1 — Low Risk (Developed)
AP,Guntur,Both,Low (<30%),22.1,72.60000000000001,50.23333333333333,76.25,80.06,27.375,84.05,25.23333333333333,36.7,44.3,74.25,84.9,9.7,1267.0,90.6,6.1,1.1175085956834097,-0.4961551555205236,1.0668972299609734,0.231459634506581,-0.2220620831271134,2.14982274954721,0.693285506883868,0.3450438654096958,-0.0589883761704517,1.237426900572674,1.418787172109717,0.2387828108162764,-0.6128330548223545,0.5623826212274275,-1.2284023956762038,35.03294636580738,31.795485526735327,-12.932946365807382,0,Tier 1 — Low Risk (Developed)
AP,Krishna,Both,Low (<30%),22.6,68.83333333333333,60.79999999999999,86.98333333333333,89.08,26.975,83.575,20.966666666666665,70.1,37.7,74.25,54.9,5.9,2183.0,83.6,4.6,0.8520127777957756,0.367706572481138,1.7133434574928943,0.9204650623220104,-0.2726121241764881,2.106096602872488,0.0698781723216433,2.132444616244733,-0.4562971061873702,1.237426900572674,-0.2834321338626464,-0.495879629398241,-0.2766425418895772,0.1407866584201552,-1.460260514887461,27.94327001191389,29.0682786691076,-5.343270011913887,0,Tier 1 — Low Risk (Developed)
AP,Kurnool,Rural,High (40–50%),44.1,66.10000000000001,44.43333333333333,69.73333333333333,83.02,29.075000000000003,78.375,28.399999999999995,52.9,32.0,88.9,70.7,2.5,1310.0,73.3,4.7,0.6593520957888214,-0.970325315370016,0.6744120203880214,0.4575634112619766,-0.00722440866727,1.6274103655913128,1.155970638004268,1.2119867445572292,-0.7994273730201639,2.271329831094238,0.6130700339494649,-1.1532091811691254,-0.5970511857654665,-0.4795616868534023,-1.444803306940044,37.14532391734083,35.18131060654724,6.954676082659169,0,Tier 1 — Low Risk (Developed)
AP,Prakasam,Rural,Low (<30%),28.2,59.23333333333334,45.53333333333333,74.73333333333333,82.47999999999999,27.85,78.825,28.866666666666664,48.2,30.9,74.25,71.4,11.3,1616.0,68.9,4.7,0.1753508702591537,-0.8803964919502846,0.9755515673749412,0.4163147492863295,-0.1620339093809806,1.668835136125261,1.2241558152220118,0.9604662796193648,-0.8656454946896505,1.237426900572674,0.6527884844221535,0.5481143645908105,-0.4847430013141238,-0.7445648634751157,-1.444803306940044,33.99459002737031,35.82813429947361,-5.794590027370308,0,Tier 1 — Low Risk (Developed)
